comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,7ada1b98f98455d77f7150927e0816c350a6227273b6e19bfa23e1ce32e23ae9,repair,3.6635504,entropy,32,80,8,10,640
,7e5cf5a121f38b74100f1a1fb1f45566f530913b98f911285194341b21579086,repair,2.996625,entropy,32,80,8,10,640
,6cf7e414e50883b4cd8b370e234154db84ac0db0e6cef1293666839ecc796711,repair,3.2063937,entropy,32,80,8,10,640
,b5bb1c2e53b3d396cf6eed21849fa5b886c8170aceb71c6427884510ccb2844d,repair,3.229788,entropy,32,80,8,10,640
,ef966e9d5d3c9631722f7cc03c5540bd3ae64efaa38fa4f50bee543480d0fffc,repair,3.296706,entropy,32,80,8,10,640
,4b220f11cbd5483bb5b56fde1b33af19348ab02ec5f6b96a2e3540f56e199491,repair,3.309256,entropy,32,80,8,10,640
,68f29ee1f373f92f2983634377952bdb0d1cedde80ca91f36a4e8a74c5a319fa,repair,3.1061678,entropy,32,80,8,10,640
,97585a4b1fe908ff3e6dc8b9111da65baa4ee3fba90c444bfe188901963b37e4,repair,3.2092957,entropy,32,80,8,10,640
,11f7eab10264e551a9b2b26814c7b7df290b71a9f666f8998c7ecf12ae21accc,repair,3.3121748,entropy,32,80,8,10,640
,4af9934811322fccf2879be57cbacf71d36b02029631355c753c4a9ee397d340,repair,3.3113835,entropy,32,80,8,10,640
,7134c2e419c6189f158aa45c4bd2371765d7914136e28569be8892b82cb0b789,repair,3.2999115,entropy,32,80,8,10,640
,c685352aef315cb8f11e0e715aa96a0c4d2a1eef53fffbabd1802e28c0ea404a,repair,3.402324,entropy,32,80,8,10,640
,47838ea833b744b1f3468081e7a5e16dd11dade2e1a31541c7cb6bcc418646ae,repair,3.2002556,entropy,32,80,8,10,640
,85ca662a9acdcca4368dc3f658858b28836431e0254df88f0c76fdb5c908af58,repair,2.5873313,entropy,32,80,8,10,640
,1414c56a0eb879758f76cbbb888537ec013378cbe8dc54f0e429e77ca78efe0d,repair,3.2168286,entropy,32,80,8,10,640
,d1c5d4eafb2405c419eed912bb7ba86757e05bfa6ada925b5f055305b3d16e29,repair,3.1739564,entropy,32,80,8,10,640
,051c5a4852ea4c01e1b11853cee39db8bc68759e6701641858a8e897bd04d720,repair,3.1043653,entropy,32,80,8,10,640
,0cb741fe80d8172d92a4280cf6335de928a04fafadf0eb508d52634b762a63b1,repair,2.726968,entropy,32,80,8,10,640
,f63cbd1ca48e65d4b677fa36d9dcb261a6fb14ac833a0256302aa8c0334f9883,repair,3.2229152,entropy,32,80,8,10,640
,d7a4844c6c944664042c30ad2fc51d0a999d6e1d867996531e16d40f44001f70,repair,2.7975407,entropy,32,80,8,10,640
,67b41af0eb48f16708d1fa9637f965974fa848284dc8f1a20e55642e281e0bf1,repair,3.1472533,entropy,32,80,8,10,640
,9c7a0120a4714ae69d29a0310566160b100496367ce1054e61ec71fc841ba632,repair,3.125675,entropy,32,80,8,10,640
,e1605457ad9b3a7589016d7f5596fb15c9e7635e8f2fe72a3bde213408756010,repair,3.2971,entropy,32,80,8,10,640
,46ae46f1e21406a9bae83e5a877d75cd9e655356b2733db818e5e7df25a917a1,repair,3.42081,entropy,32,80,8,10,640
,984eef2d73e75f22cc411f1f49384415ea122e13eac151adfa034f551d2e55dd,repair,3.053432,entropy,32,80,8,10,640
,c640511b33f3ecc8b97962964e4573887bb1c766cdd77cf14e8a8245780efeec,repair,3.3884199,entropy,32,80,8,10,640
,a4b1c5643bf9376443f27b7f164e2cc81dc9a22d6e7fde3ee8145beb04554692,repair,3.5573025,entropy,32,80,8,10,640
,e741b4706e30efe88786c8eb716f37413e1b80749f47b133324424d97583a4f5,repair,2.514247,entropy,32,80,8,10,640
,927a9afa845e52fd55b83a31679011a5e6a958e64de6e4cbc49f326b2a15d820,repair,3.493296,entropy,32,80,8,10,640
,94de866b0f5067c47461271a08809944e3cf44760051a8c58cbbfcf7c5e1e6aa,repair,2.8042583,entropy,32,80,8,10,640
,d96724e15216dd4e87ae72e43e9ef54ab73b361a79bf1bdc8b5df6869ec6fef9,repair,3.3880334,entropy,32,80,8,10,640
,e1b26264453c247fef0bd86b71117d506679c2dc5f287a9c7e5b9a10169dfa1a,repair,3.2714489,entropy,32,80,8,10,640
,cf737edb2453af6902e3beae969da7d1b6c58dda4a6aa7b30788f4a2f401c9ba,repair,3.8684375,entropy,32,80,8,10,640
,e0492828e9fd14a90972e02af2e8792897e603fe170f77ccfd579079a302315d,repair,3.4207215,entropy,32,80,8,10,640
,1231cc86d17edf500dbc8a1c8dcb3b1f5f7f3b25e394ce1efa45c08ce873d68c,repair,3.149484,entropy,32,80,8,10,640
,72a50f5d7501374e6fb5e1493ab538559d0212f531266e4b50cb8e3261bc3919,repair,3.2261236,entropy,32,80,8,10,640
,2741f82808b854f976e7e469dffc068b051dfe25898d805d3ea61c4b8f2f6453,repair,3.2392056,entropy,32,80,8,10,640
,e3cd32a7712c1f3d744c10e2a07eba43abf87d7639501053a53fb7cf5daacd1a,repair,3.3591156,entropy,32,80,8,10,640
,f3f5707aefbb43d834a212160e2cfd8fc2d908ee857bfd4d3342d7786c5e9082,repair,3.3660827,entropy,32,80,8,10,640
,16d28a47ccb84cf319387cdc6073b8a0780013088dd0491cd22cdb1806d075f1,repair,3.3836575,entropy,32,80,8,10,640
,af5967910f7548651b93e18fb7affde634fa31fde1ce00488b11104420102087,repair,3.1312366,entropy,32,80,8,10,640
,7b0d1362e469f01dbd5c75afcbb59c4fa1e317a5281b4f131af515273eead48a,repair,2.6180964,entropy,32,80,8,10,640
,151be584f1fd47b2189177580f2a56d70821250a486f2c48e9910fdd56420cc7,repair,3.316658,entropy,32,80,8,10,640
,8620647751f2c7e920906c3120edd30a31182e16a3f8c1a7bdee00eb335e8367,repair,3.1979868,entropy,32,80,8,10,640
,a34a84b3970099bccae3d506c156bfae437aa77dcb7448eddb2f76ec38525449,repair,3.3844306,entropy,32,80,8,10,640
,82f89a2602550386c4a3935a0b3e700bc55d35fb028c7a043e779f862a12a50f,repair,3.2444134,entropy,32,80,8,10,640
,51dd606ef155a26b1bd38810ddfe0c9cca067f2693632655efaa3e3b91d17407,repair,3.1350896,entropy,32,80,8,10,640
,5ad8150a1be1faa431bff91873fc7f59c912061949c621128c7effc77b09237c,repair,2.8551137,entropy,32,80,8,10,640
,67ac6cdc2fcf6fc40430fd39d8dfab6ef2e750ce5f196110fe27fb56297d0759,repair,3.0363798,entropy,32,80,8,10,640
,f145754c1f08c21fcbd5864f05b617018d49ac780b242f5f80a5f67aaa5ef36b,repair,3.5698233,entropy,32,80,8,10,640
