comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent,num_participant
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,23a0f9be1b712d9fe871119308f84776c478e5391d0c1f83f39e3f97652a192f,repair,1.9209583,kademlia,32,80,8,10,240,10000
,b0fc7289ae86e3564c153ee491228fd69b49a1a033e6d86b1a42cb198d5f308d,repair,1.8206942,kademlia,32,80,8,10,240,10000
,ec89a25aa62157a7b21d5aac5367b5f3275929816963b65b407fbd2cc3f35885,repair,1.6615098,kademlia,32,80,8,10,240,10000
,cdfc7862a92344cb5af11c6693fb0838d089f177b211ec055a9dff9134542e09,repair,2.0495892,kademlia,32,80,8,10,240,10000
,c3304d5e2ff8c4b9114cac5629c769de60e3f74b416413a553e6b919420df7f4,repair,2.7245893,kademlia,32,80,8,10,240,10000
,cd6be73eee829249caaa89f2a0ff48a822bde409c4602b5ce6683d412d6a9387,repair,2.3630314,kademlia,32,80,8,10,240,10000
,22aa57c907f0ecca50166054f37e253a594211b235a63160ab3e9f966ff89020,repair,1.8705752,kademlia,32,80,8,10,240,10000
,7755ba33e0941a3408067036c949d8b8781a7e3fadc99732e568e9fe57f5d7eb,repair,2.430756,kademlia,32,80,8,10,240,10000
,5c7ef78146267da19193b1602e5368d2201647449013e4f41cd59ce9a1c1eb46,repair,1.8055465,kademlia,32,80,8,10,240,10000
,ab8664178df259bf7b8d8fef7ec1e52359eb42a0ece087533c18e9d1b1b40224,repair,1.8119527,kademlia,32,80,8,10,240,10000
,3bb5f5eb4336e6027cc420bb3dbcf09829d8b416ad829db9013185e96a45878a,repair,1.6564643,kademlia,32,80,8,10,240,10000
,37b0037f89bc5aff21e3dc95f5e896676fd1281e4b06c15e44df24a84df4472b,repair,1.7893047,kademlia,32,80,8,10,240,10000
,a929ce089b3da1d98779c7cdcea0a6dadb208831465e1edf34aca325229108fd,repair,1.903772,kademlia,32,80,8,10,240,10000
,44b1b7ac8bfba87bdf917c45eb46617f9ddbc73a1aae4888ca8d8c5afccffaa1,repair,1.8111889,kademlia,32,80,8,10,240,10000
,ea84efb144f0eea3578915012f0354cc5e5692ecdbb5eda328f9936b5395b01c,repair,2.0687995,kademlia,32,80,8,10,240,10000
,884c647bc848828c618ab2391736693fda276284816076fd57998c9f69ce51fe,repair,2.0642364,kademlia,32,80,8,10,240,10000
,0be950ad6267e57611b66b7353d1e5e5c0bed522c5792f368c87628bbdc2f6e0,repair,2.3618326,kademlia,32,80,8,10,240,10000
,95257c896e888e4ef340e7b88704ed6a0dda2f9441f42652bde24e7224f175f1,repair,1.8093145,kademlia,32,80,8,10,240,10000
,4b6af9c646c3e1876d86a779f51e9d6f465414c4e1611e43f58c2b3a3dd2d3ff,repair,2.0492518,kademlia,32,80,8,10,240,10000
